企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率
META-1-001,宝钢钢铁炼铁厂（模拟-蓝）,2011,1,蓝,0,4,402,3,1,31106,192122,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-11,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-360735,4,1,3,1,12,1538.7,19.81,230,0.055,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0.0,0,0,2,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.962628,31.874486,800,19,10,0.89,0.97
META-1-002,龙腾钢铁炼铁厂（模拟-蓝）,2012,1,蓝,0,3,135,1,0,11399,107539,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-272634,1,1,1,0,5,2760.04,28.56,85,0.103,0,0,0,0,0,0,27,0,0,0,0,0,4,0,4,0.0,0,0,2,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.955008,31.423007,3200,9,5,0.91,1.0
META-1-003,华冶钢铁炼铁厂（模拟-蓝）,2013,1,蓝,0,4,595,6,3,4246,14144,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-04-09,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-632496,9,3,6,3,14,585.44,51.65,446,0.094,0,0,0,0,0,0,30,0,0,0,0,0,4,0,4,0.0,0,0,2,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.735204,31.119887,1200,6,11,0.89,0.97
META-1-004,鑫钢钢铁炼铁厂（模拟-蓝）,2014,1,蓝,0,4,363,1,0,13886,176564,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-12,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-804318,1,1,1,0,21,1323.65,75.03,234,0.115,0,0,0,0,0,0,34,0,0,0,0,0,3,0,3,0.0,0,0,1,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.509315,31.621159,800,7,10,0.9,0.94
META-1-005,中联钢铁炼铁厂（模拟-蓝）,2015,1,蓝,0,4,290,2,1,10838,115867,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-04-25,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-413921,3,1,2,1,22,361.76,71.47,230,0.061,0,0,0,0,0,0,29,0,0,0,0,0,3,0,3,0.0,0,0,0,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.389713,31.742417,1200,13,6,0.94,0.98
META-1-006,北方钢铁炼铁厂（模拟-蓝）,2016,1,蓝,0,4,689,3,1,33622,129065,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-16,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-146228,4,1,3,1,13,2177.44,54.6,404,0.061,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,0.0,0,0,0,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.241231,31.55168,3200,5,3,0.88,0.99
META-1-007,扬子钢铁炼铁厂（模拟-蓝）,2017,1,蓝,0,4,76,1,0,38675,145841,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-19,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-934794,1,1,1,0,5,188.51,35.05,45,0.095,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0.0,0,0,0,1,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.166933,31.353679,3200,9,5,0.96,1.0
META-1-008,金泰轧钢厂（模拟-蓝）,2018,1,蓝,0,4,65,1,0,27482,176612,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-04-20,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-140605,1,1,1,0,4,685.02,67.16,42,0.077,0,0,0,0,0,0,35,0,0,0,0,0,2,0,2,0.0,0,0,1,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.805191,31.795345,1200,12,2,0.94,0.95
META-1-009,宝钢轧钢厂（模拟-蓝）,2019,1,蓝,0,4,325,2,1,45032,141565,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-05-13,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-708792,3,1,2,1,25,802.07,17.59,193,0.075,0,0,0,0,0,0,22,0,0,0,0,0,1,0,1,0.0,0,0,1,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.228545,31.313677,800,17,11,0.9,0.92
META-1-010,龙腾轧钢厂（模拟-蓝）,2020,1,蓝,0,3,572,2,1,24369,114062,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,2026-04-17,演示CSV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-631756,3,1,2,1,22,1190.83,38.17,457,0.064,0,0,0,0,0,0,14,0,0,0,0,0,3,0,3,0.0,0,0,0,1,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.627288,31.420446,3200,10,11,0.93,0.95
