企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率
DUST-1-001,联创铝镁粉尘制品厂（模拟-蓝）,3011,1,蓝,0,4,333,3,1,38509,160032,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-05-14,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-636004,4,1,3,1,16,2531.21,65.72,245,0.054,0,0,0,0,0,0,32,0,0,0,0,0,3,0,3,0.0,0,56,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.015452,31.632941,7,1,0.96,0.96,0.93
DUST-1-002,宏粉尘铝镁粉尘制品厂（模拟-蓝）,3012,1,蓝,0,3,270,1,0,10156,7402,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-04-22,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-534572,1,1,1,0,19,1645.82,60.28,254,0.071,0,0,0,0,0,0,13,0,0,0,0,0,2,0,2,0.0,1,51,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.647571,31.687622,3,4,0.86,0.97,0.93
DUST-1-003,顺达铝镁粉尘制品厂（模拟-蓝）,3013,1,蓝,0,3,515,5,2,8453,120658,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-05-22,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-742412,7,2,5,2,35,2506.3,39.87,420,0.113,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0.0,1,40,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.243655,31.474674,6,2,0.96,0.9,0.94
DUST-1-004,新铝铝镁粉尘制品厂（模拟-蓝）,3014,1,蓝,0,3,536,3,1,18496,116309,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-05-18,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-666390,4,1,3,1,13,490.26,36.81,345,0.052,0,0,0,0,0,0,14,0,0,0,0,0,3,0,3,0.0,0,28,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.914868,31.330881,9,4,0.84,0.97,0.89
DUST-1-005,泰和铝镁粉尘制品厂（模拟-蓝）,3015,1,蓝,0,3,638,3,1,38228,100714,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-05-20,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-994905,4,1,3,1,46,2353.18,47.68,591,0.099,0,0,0,0,0,0,27,0,0,0,0,0,1,0,1,0.0,2,48,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.988229,31.272935,9,1,0.89,0.95,0.94
DUST-1-006,瑞丰铝镁粉尘制品厂（模拟-蓝）,3016,1,蓝,0,4,781,7,3,8864,164120,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-04-10,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-773971,10,3,7,3,35,2437.84,22.72,712,0.061,0,0,0,0,0,0,29,0,0,0,0,0,1,0,1,0.0,1,47,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.954699,31.337501,8,3,0.95,0.97,0.88
DUST-1-007,广益铝镁粉尘制品厂（模拟-蓝）,3017,1,蓝,0,3,123,1,0,49588,142405,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-04-28,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-142213,1,1,1,0,8,2662.94,23.96,78,0.042,0,0,0,0,0,0,13,0,0,0,0,0,3,0,3,0.0,0,50,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.626221,31.669459,5,4,0.94,0.96,0.87
DUST-1-008,鑫源抛光车间（模拟-蓝）,3018,1,蓝,0,3,661,3,1,11232,82536,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-05-26,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-810250,4,1,3,1,49,1100.83,75.9,370,0.056,0,0,0,0,0,0,15,0,0,0,0,0,5,0,5,0.0,2,108,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.330572,31.242849,6,6,0.92,0.87,0.96
DUST-1-009,联创抛光车间（模拟-蓝）,3019,1,蓝,0,4,82,1,0,43853,98142,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-04-21,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-962276,1,1,1,0,4,1259.18,35.35,66,0.111,0,0,0,0,0,0,14,0,0,0,0,0,5,0,5,0.0,1,110,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.652991,31.176137,10,6,0.87,0.97,0.91
DUST-1-010,宏粉尘抛光车间（模拟-蓝）,3020,1,蓝,0,4,535,3,1,48408,156313,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,2026-04-16,演示CSV,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-572700,4,1,3,1,18,1344.01,52.72,476,0.07,0,0,0,0,0,0,20,0,0,0,0,0,3,0,3,0.0,0,83,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.350953,31.18184,5,3,0.95,0.9,0.95
DUST-2-001,联创铝镁粉尘制品厂（模拟-黄）,3021,2,黄,0,3,769,6,3,39650,140082,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-04-21,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-573489,9,3,6,3,56,1205.57,67.92,644,0.072,1,0,0,0,1,0,23,8,11,11,0,0,5,0,5,0.0,2,32,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.812548,31.312524,6,3,0.87,0.85,0.8
DUST-2-002,宏粉尘铝镁粉尘制品厂（模拟-黄）,3022,2,黄,0,2,133,1,0,6609,114213,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-09,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-401601,1,1,1,0,7,1036.48,50.45,95,0.057,2,0,0,0,1,0,17,6,7,7,0,0,1,0,1,0.0,2,81,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.724245,31.108218,10,3,0.74,0.79,0.77
DUST-2-003,顺达铝镁粉尘制品厂（模拟-黄）,3023,2,黄,0,2,479,2,1,40411,173446,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-04-12,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-693830,3,1,2,1,28,269.27,61.87,330,0.118,3,0,0,0,2,0,22,1,2,2,0,0,3,0,3,0.0,0,115,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.030483,31.376194,9,3,0.75,0.79,0.78
DUST-2-004,新铝铝镁粉尘制品厂（模拟-黄）,3024,2,黄,0,2,621,3,1,3947,41784,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-21,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-386436,4,1,3,1,20,1473.58,34.16,462,0.049,3,0,0,0,2,0,19,1,1,1,0,0,4,0,4,0.0,2,106,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.093134,31.526934,6,1,0.76,0.89,0.75
DUST-2-005,泰和铝镁粉尘制品厂（模拟-黄）,3025,2,黄,0,2,249,2,1,9493,67982,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-25,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-837852,3,1,2,1,8,1599.73,56.76,154,0.068,2,0,0,0,1,0,23,6,6,6,0,0,4,0,4,0.0,1,114,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,120.542302,31.018742,3,3,0.81,0.83,0.83
