场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率,高炉数量
chemical,CHEM-3-001,瑞祥危化品储运（模拟-橙）,1031,3,橙,1,2,139,1,0,1872,60386,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-21,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-565776,1,1,1,0,7,376.2,64.87,116,0.127,2,0,0,1,1,0,18,3,3,3,1,0,4,0,4,7.62,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.739168,31.965597,17,2,0.74,0.78,,,,,,,,,,,
chemical,CHEM-3-002,远东危化品储运（模拟-橙）,1032,3,橙,1,2,255,1,0,4419,139270,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-571145,1,1,1,0,18,73.67,40.62,227,0.241,3,0,0,2,0,1,27,3,4,4,2,1,10,0,10,14.43,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.722038,31.451128,13,2,0.74,0.71,,,,,,,,,,,
chemical,CHEM-3-003,盛泰危化品储运（模拟-橙）,1033,3,橙,0,1,221,2,1,3371,59861,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-22,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-119927,3,1,2,1,7,417.48,48.42,188,0.206,1,0,0,1,0,0,14,6,6,6,2,2,4,2,2,19.11,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.027772,31.111187,11,2,0.73,0.67,,,,,,,,,,,
chemical,CHEM-3-004,恒源危化品储运（模拟-橙）,1034,3,橙,1,2,244,1,0,814,30060,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-24,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-651613,1,1,1,0,12,393.21,45.53,199,0.093,3,0,0,2,1,1,29,1,2,2,2,1,4,1,3,9.09,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.373331,31.043534,14,3,0.73,0.67,,,,,,,,,,,
chemical,CHEM-3-005,新能危化品储运（模拟-橙）,1035,3,橙,0,1,64,1,0,6620,153542,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-09,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-929538,1,1,1,0,2,20.95,75.34,36,0.172,3,0,0,2,0,1,24,3,3,3,1,2,4,0,4,13.14,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.489123,31.543031,10,2,0.78,0.69,,,,,,,,,,,
chemical,CHEM-3-006,华安危化品储运（模拟-橙）,1036,3,橙,1,2,212,1,0,2538,33630,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-671971,1,1,1,0,7,51.3,32.95,184,0.137,3,0,0,2,1,0,25,7,10,10,2,3,6,2,4,13.46,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.945916,31.717663,7,4,0.74,0.72,,,,,,,,,,,
chemical,CHEM-3-007,金源危化品储运（模拟-橙）,1037,3,橙,1,2,210,1,0,5538,16036,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-27,演示CSV,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-488984,1,1,1,0,8,381.54,50.17,145,0.175,2,0,0,1,0,0,16,7,9,9,2,1,7,2,5,6.14,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.898034,31.649561,9,2,0.7,0.69,,,,,,,,,,,
chemical,CHEM-3-008,宏达精细化工（模拟-橙）,1038,3,橙,1,1,295,2,1,2444,69233,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-19,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-414527,3,1,2,1,20,355.9,74.91,279,0.192,1,0,0,1,0,1,28,4,6,6,2,3,9,2,7,12.68,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.293696,31.508756,5,2,0.78,0.7,,,,,,,,,,,
chemical,CHEM-3-009,瑞祥精细化工（模拟-橙）,1039,3,橙,0,2,282,3,1,4128,145610,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-12,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-905077,4,1,3,1,21,216.31,73.75,205,0.099,4,0,0,2,1,1,18,2,2,2,1,1,3,1,2,6.25,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.624161,31.153015,7,2,0.73,0.75,,,,,,,,,,,
chemical,CHEM-3-010,远东精细化工（模拟-橙）,1040,3,橙,0,2,207,1,0,7229,21672,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-08,演示CSV,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-782759,1,1,1,0,6,286.07,53.27,183,0.095,1,0,0,1,0,0,22,4,6,6,0,1,7,2,5,15.62,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.388997,31.545577,11,3,0.72,0.76,,,,,,,,,,,
