企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率
CHEM-1-001,瑞祥危化品储运（模拟-蓝）,1011,1,蓝,0,3,694,7,3,49098,73097,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-04-25,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-191161,10,3,7,3,38,166.45,16.56,420,0.059,0,0,0,0,0,0,19,0,0,0,0,0,2,0,2,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.102019,31.561245,7,0,0.97,0.92
CHEM-1-002,远东危化品储运（模拟-蓝）,1012,1,蓝,0,3,46,1,0,46253,111785,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-11,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-197251,1,1,1,0,1,1056.42,34.08,28,0.061,0,0,0,0,0,0,22,0,0,0,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.54345,31.459425,2,1,0.94,0.92
CHEM-1-003,盛泰危化品储运（模拟-蓝）,1013,1,蓝,0,4,683,4,2,38337,51407,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-04-17,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-183667,6,2,4,2,48,2436.84,36.61,388,0.076,0,0,0,0,0,0,34,0,0,0,0,0,1,0,1,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.33411,31.162654,6,0,1.0,0.97
CHEM-1-004,恒源危化品储运（模拟-蓝）,1014,1,蓝,0,3,739,4,2,40420,167455,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-04-22,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-497887,6,2,4,2,26,2597.06,58.17,621,0.058,0,0,0,0,0,0,17,0,0,0,0,0,5,0,5,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.824283,31.768314,1,0,1.0,0.98
CHEM-1-005,新能危化品储运（模拟-蓝）,1015,1,蓝,0,3,450,3,1,14326,149682,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-20,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-774079,4,1,3,1,21,800.47,27.26,285,0.085,0,0,0,0,0,0,34,0,0,0,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.762742,31.584586,7,1,0.95,1.0
CHEM-1-006,华安危化品储运（模拟-蓝）,1016,1,蓝,0,3,561,3,1,3587,29743,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-27,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-166613,4,1,3,1,24,1700.82,42.76,486,0.06,0,0,0,0,0,0,16,0,0,0,0,0,2,0,2,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.053226,31.942431,2,2,1.0,0.98
CHEM-1-007,金源危化品储运（模拟-蓝）,1017,1,蓝,0,3,696,5,2,19734,114971,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-24,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-898975,7,2,5,2,21,2562.35,70.94,383,0.064,0,0,0,0,0,0,17,0,0,0,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.138949,31.60897,3,1,1.0,0.95
CHEM-1-008,宏达精细化工（模拟-蓝）,1018,1,蓝,0,3,583,2,1,39752,85975,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-17,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-351083,3,1,2,1,13,2468.19,76.29,346,0.047,0,0,0,0,0,0,27,0,0,0,0,0,1,0,1,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.98599,31.069213,3,0,0.99,1.0
CHEM-1-009,瑞祥精细化工（模拟-蓝）,1019,1,蓝,0,4,209,1,0,14380,142373,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-28,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-491559,1,1,1,0,9,1487.81,18.47,174,0.058,0,0,0,0,0,0,36,0,0,0,0,0,2,0,2,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.838086,31.588309,4,2,0.95,0.9
CHEM-1-010,远东精细化工（模拟-蓝）,1020,1,蓝,0,3,686,7,3,4917,9234,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,2026-05-23,演示CSV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-324643,10,3,7,3,35,2047.52,71.77,518,0.086,0,0,0,0,0,0,22,0,0,0,0,0,1,0,1,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.742997,31.472973,7,0,0.94,0.97
